3 5
[ABabCBcbCcDd] 5 7
[ABabCABcabCcDd] 2 5
[ABCabDcABdabDdCc] 4 8
[ABabCDBcdbCcDd] 0 0
[AaABabCDBcdbCcDd] 4 8
[AaBbCABcabCDcdCc] 8 12
[AaBbCABcabCDcdBb] 8 12
[AaBCbcDACdacDdAa] 4 8
[ABabCDcdCcDd] 0 0
[AaABabCDcdCcDd] 0 0
[AaAaABabCDcdCcDd] 6 10
[AaBbABabCDcdDdCc] 6 10
[AaBbABabCDcdDdBb] 6 10
[AaBbBCbcDAdaDdAa] 6 10
[AaBbABabCDcdCc] 14 14
[AaBbABabCDcdCcAa] 6 10
[AaBbABabCDcdCcBb] 6 10
[AaBbABabCDcdCcCc] 6 10
[AaBbABabCDcdCcDd] 6 10
[AaBbABabCDcdBb] 14 14
[AaBbCDcdBAbaBbAa] 6 10
[AaBbABabCDcdBbBb] 6 10
[AaBbABabCDcdBbCc] 6 10
[AaBbACacBDbdBbDd] 6 10
[AaBCbcDAdaDdAa] 0 0
[AaBbABabCDcdAaAa] 6 10
[AaBbACacDBdbDdBb] 6 10
[AaBbCAcaDBdbDdBb] 6 10
[AaBbCDcdABabAaBb] 6 10
[AaBbAa] 0 0
[AaBbAaAa] 8 8
[AaBbAaAaAa] 3 5
[AaBCbAcaAaAa] 1 3
[ABaCbBcAbaAaAa] 5 8
[ABaCbDBcAdbaAaAa] 2 6
[ABaCbDcAdaAaAa] 14 14
[ABaCbDcAdaAaAaAa] 4 8
[ABaCbDcAdaAaAaBb] 4 8
[AaBbBbBCbAcDaBdb] 8 12
[AaBbBbBAbCaDcBdb] 8 12
[AaBbAaAaBb] 3 5
[AaBCbAcaAaBb] 1 3
[AaBbBCbAcCaBcb] 9 12
[AaBbBCbAcDCaBdcb] 6 10
[AaBbBCbAcDaBdb] 14 14
[AaBCbAcDaBdbBbAa] 6 10
[AaBbBCbAcDaBdbBb] 8 12
[AaBbBCbAcDaBdbCc] 6 10
[AaBAbCaDcBdbBbCc] 6 10
[AaBbBbCcBb] 5 7
[AaBbBAbCacBb] 9 11
[ABaCbBcAbaAaBb] 2 5
[ABCaDbcBdAbaAaBb] 6 10
[AaBbBAbCaDcBdb] 0 0
[AaAaBbBAbCaDcBdb] 8 12
[ABaCbDcAdaAaDdAa] 4 8
[ABaCbDcAdaAaDdCc] 4 8
[ABaCbDcAdaAaDdBb] 4 8
[AaBbBCbDcdBb] 9 11
[ABaCbDcAdaAaBb] 0 0
[AaABaCbDcAdaAaBb] 4 8
[AaBAbCaDcBdbBbAa] 6 10
[AaBCbAcDaBdbBbCc] 4 8
[AaBCbDcAdBabBbCc] 6 10
[AaBbBCbDcCdBcb] 6 9
[AaBbBCAbDcaCdBcb] 10 14
[AaBbAaBb] 0 0
[AaAaBbAaBb] 3 5
[AaBbACaBcbBb] 3 5
[AaBCbAcCaBcbBb] 7 10
[AaBCbAcDCaBdcbBb] 4 8
[AaBCbAcDaBdbBb] 14 14
[AaBCbAcDaBdbBbAa] 6 10
[AaBCbAcDaBdbBbBb] 6 10
[AaBCbAcDaBdbBbCc] 4 8
[AaBbBAbCaDcBdbCc] 6 10
[AaBbAaBbAa] 1 3
[ABaCbcAaCcAa] 5 7
[ABaCbBcAbaCcAa] 2 5
[ABCaDbcBdAbaDdAa] 6 10
